unit,s_adj,nace_r2,indic,geo,TIME_PERIOD,OBS_VALUE
I20,SCA,B,LM-LCI-TOT,HR,2021-Q3,97.6
I20,SCA,B,LM-LCI-TOT,HR,2021-Q4,97.6
I20,SCA,B,LM-LCI-TOT,HR,2022-Q1,95.9
I20,SCA,B,LM-LCI-TOT,HR,2022-Q2,94.8
I20,SCA,B,LM-LCI-TOT,HR,2022-Q3,95.8
I20,SCA,B,LM-LCI-TOT,HR,2022-Q4,97.5
I20,SCA,B,LM-LCI-TOT,HR,2023-Q1,104.8
I20,SCA,B,LM-LCI-TOT,HR,2023-Q2,108.5
I20,SCA,B,LM-LCI-TOT,HR,2023-Q3,112.2
I20,SCA,B,LM-LCI-TOT,HR,2023-Q4,113.0
I20,SCA,B,LM-LCI-TOT,HR,2024-Q1,114.1
I20,SCA,B,LM-LCI-TOT,HU,2021-Q1,96.8
I20,SCA,B,LM-LCI-TOT,HU,2021-Q2,97.7
I20,SCA,B,LM-LCI-TOT,HU,2021-Q3,105.5
I20,SCA,B,LM-LCI-TOT,HU,2021-Q4,109.8
I20,SCA,B,LM-LCI-TOT,HU,2022-Q1,107.6
I20,SCA,B,LM-LCI-TOT,HU,2022-Q2,121.6
I20,SCA,B,LM-LCI-TOT,HU,2022-Q3,119.5
I20,SCA,B,LM-LCI-TOT,HU,2022-Q4,118.7
I20,SCA,B,LM-LCI-TOT,HU,2023-Q1,138.7
I20,SCA,B,LM-LCI-TOT,HU,2023-Q2,133.5
I20,SCA,B,LM-LCI-TOT,HU,2023-Q3,131.7
I20,SCA,B,LM-LCI-TOT,HU,2023-Q4,144.0
I20,SCA,B,LM-LCI-TOT,HU,2024-Q1,154.0
I20,SCA,B,LM-LCI-TOT,IE,2021-Q1,106.5
I20,SCA,B,LM-LCI-TOT,IE,2021-Q2,103.0
I20,SCA,B,LM-LCI-TOT,IE,2021-Q3,99.4
I20,SCA,B,LM-LCI-TOT,IE,2021-Q4,106.8
I20,SCA,B,LM-LCI-TOT,IE,2022-Q1,105.0
I20,SCA,B,LM-LCI-TOT,IE,2022-Q2,118.9
I20,SCA,B,LM-LCI-TOT,IE,2022-Q3,127.3
I20,SCA,B,LM-LCI-TOT,IE,2022-Q4,129.5
I20,SCA,B,LM-LCI-TOT,IE,2023-Q1,137.4
I20,SCA,B,LM-LCI-TOT,IE,2023-Q2,134.9
I20,SCA,B,LM-LCI-TOT,IE,2023-Q3,140.4
I20,SCA,B,LM-LCI-TOT,IE,2023-Q4,134.0
I20,SCA,B,LM-LCI-TOT,IE,2024-Q1,139.0
I20,SCA,B,LM-LCI-TOT,IS,2021-Q1,
I20,SCA,B,LM-LCI-TOT,IS,2021-Q2,
I20,SCA,B,LM-LCI-TOT,IS,2021-Q3,
I20,SCA,B,LM-LCI-TOT,IS,2021-Q4,
I20,SCA,B,LM-LCI-TOT,IS,2022-Q1,
I20,SCA,B,LM-LCI-TOT,IS,2022-Q2,
I20,SCA,B,LM-LCI-TOT,IS,2022-Q3,
I20,SCA,B,LM-LCI-TOT,IS,2022-Q4,
I20,SCA,B,LM-LCI-TOT,IS,2023-Q1,
I20,SCA,B,LM-LCI-TOT,IS,2023-Q2,
I20,SCA,B,LM-LCI-TOT,IS,2023-Q3,
I20,SCA,B,LM-LCI-TOT,IS,2023-Q4,
I20,SCA,B,LM-LCI-TOT,IS,2024-Q1,
I20,SCA,B,LM-LCI-TOT,IT,2021-Q1,97.1
I20,SCA,B,LM-LCI-TOT,IT,2021-Q2,93.2
I20,SCA,B,LM-LCI-TOT,IT,2021-Q3,97.9
I20,SCA,B,LM-LCI-TOT,IT,2021-Q4,98.1
I20,SCA,B,LM-LCI-TOT,IT,2022-Q1,100.9
I20,SCA,B,LM-LCI-TOT,IT,2022-Q2,98.4
I20,SCA,B,LM-LCI-TOT,IT,2022-Q3,99.1
I20,SCA,B,LM-LCI-TOT,IT,2022-Q4,101.4
I20,SCA,B,LM-LCI-TOT,IT,2023-Q1,99.0
I20,SCA,B,LM-LCI-TOT,IT,2023-Q2,101.2
I20,SCA,B,LM-LCI-TOT,IT,2023-Q3,100.2
I20,SCA,B,LM-LCI-TOT,IT,2023-Q4,104.1
I20,SCA,B,LM-LCI-TOT,IT,2024-Q1,99.7
I20,SCA,B,LM-LCI-TOT,LT,2021-Q1,103.1
I20,SCA,B,LM-LCI-TOT,LT,2021-Q2,106.7
I20,SCA,B,LM-LCI-TOT,LT,2021-Q3,109.3
I20,SCA,B,LM-LCI-TOT,LT,2021-Q4,112.7
I20,SCA,B,LM-LCI-TOT,LT,2022-Q1,110.9
I20,SCA,B,LM-LCI-TOT,LT,2022-Q2,112.2
I20,SCA,B,LM-LCI-TOT,LT,2022-Q3,116.1
I20,SCA,B,LM-LCI-TOT,LT,2022-Q4,120.0
I20,SCA,B,LM-LCI-TOT,LT,2023-Q1,127.3
I20,SCA,B,LM-LCI-TOT,LT,2023-Q2,131.6
I20,SCA,B,LM-LCI-TOT,LT,2023-Q3,135.6
I20,SCA,B,LM-LCI-TOT,LT,2023-Q4,138.2
I20,SCA,B,LM-LCI-TOT,LT,2024-Q1,137.6
I20,SCA,B,LM-LCI-TOT,LU,2021-Q1,98.1
I20,SCA,B,LM-LCI-TOT,LU,2021-Q2,95.7
I20,SCA,B,LM-LCI-TOT,LU,2021-Q3,98.8
I20,SCA,B,LM-LCI-TOT,LU,2021-Q4,100.1
I20,SCA,B,LM-LCI-TOT,LU,2022-Q1,101.4
