DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2023-11,128.26,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2023-12,127.99,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2024-01,127.15,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2024-02,128.89,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2024-03,129.82,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2024-04,130.99,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2024-05,130.41,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2024-06,129.84,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2023-07,127.91,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2023-08,129.72,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2023-09,129.64,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2023-10,129.05,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2023-11,127.36,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2023-12,127.09,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2024-01,126.26,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2024-02,127.98,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2024-03,128.90,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2024-04,130.07,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2024-05,129.49,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU27_2020,2024-06,128.93,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2023-07,118.68,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2023-08,119.24,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2023-09,119.84,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2023-10,119.93,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2023-11,118.18,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2023-12,118.10,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2024-01,114.94,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2024-02,116.86,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2024-03,118.10,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2024-04,117.34,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2024-05,116.41,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FI,2024-06,116.77,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2023-07,128.15,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2023-08,129.08,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2023-09,126.93,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2023-10,127.31,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2023-11,125.04,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2023-12,125.59,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2024-01,124.62,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2024-02,126.90,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2024-03,126.87,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2024-04,128.76,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2024-05,126.97,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,FR,2024-06,127.00,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2023-07,122.02,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2023-08,125.20,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2023-09,126.28,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2023-10,125.28,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2023-11,122.99,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2023-12,121.67,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2024-01,121.29,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2024-02,122.58,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2024-03,123.72,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2024-04,124.61,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2024-05,123.94,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HR,2024-06,122.55,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2023-07,151.03,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2023-08,156.98,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2023-09,158.75,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2023-10,155.41,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2023-11,151.96,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2023-12,149.00,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2024-01,148.11,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2024-02,153.19,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2024-03,155.45,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2024-04,157.77,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2024-05,154.64,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,HU,2024-06,153.03,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2023-07,120.8,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2023-08,121.6,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2023-09,120.5,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2023-10,122.0,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2023-11,120.3,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2023-12,121.2,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2024-01,115.8,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2024-02,119.5,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2024-03,123.2,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2024-04,122.6,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2024-05,124.4,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IE,2024-06,125.4,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2023-07,114.85,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2023-08,113.00,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2023-09,112.21,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2023-10,112.09,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2023-11,111.03,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2023-12,111.72,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2024-01,111.36,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2024-02,112.24,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,IS,2024-03,112.88,
